Variable Name,Description,Data Type,Non-Null Count,Sample Values
_STATE,STATE FIPS CODE,float64,441456,"[1.0, 1.0, 1.0]"
FMONTH,FILE MONTH,float64,441456,"[1.0, 1.0, 1.0]"
IDATE,INTERVIEW DATE,object,441456,"['01292015', '01202015', '02012015']"
IMONTH,INTERVIEW MONTH,object,441456,"['01', '01', '02']"
IDAY,INTERVIEW DAY,object,441456,"['29', '20', '01']"
IYEAR,INTERVIEW YEAR,object,441456,"['2015', '2015', '2015']"
DISPCODE,FINAL DISPOSITION,float64,441456,"[1200.0, 1100.0, 1200.0]"
SEQNO,ANNUAL SEQUENCE NUMBER,float64,441456,"[2015000001.0, 2015000002.0, 2015000003.0]"
_PSU,PRIMARY SAMPLING UNIT,float64,441456,"[2015000001.0, 2015000002.0, 2015000003.0]"
CTELENUM,CORRECT TELEPHONE NUMBER?,float64,254645,"[1.0, 1.0, 1.0]"
PVTRESD1,PRIVATE RESIDENCE?,float64,254645,"[1.0, 1.0, 1.0]"
COLGHOUS,DO YOU LIVE IN COLLEGE HOUSING?,float64,45,"[1.0, 1.0, 1.0]"
STATERES,RESIDENT OF STATE,float64,254643,"[1.0, 1.0, 1.0]"
CELLFON3,CELLULAR TELEPHONE,float64,254646,"[2.0, 2.0, 2.0]"
LADULT,ARE YOU 18 YEARS OF AGE OR OLDER?,float64,45,"[1.0, 1.0, 2.0]"
NUMADULT,NUMBER OF ADULTS IN HOUSEHOLD,float64,254620,"[3.0, 1.0, 2.0]"
NUMMEN,NUMBER OF ADULT MEN IN HOUSEHOLD,float64,254503,"[1.0, 0.0, 1.0]"
NUMWOMEN,NUMBER OF ADULT WOMEN IN HOUSEHOLD,float64,254502,"[2.0, 1.0, 1.0]"
CTELNUM1,CORRECT PHONE NUMBER?,float64,186811,"[1.0, 1.0, 1.0]"
CELLFON2,IS THIS A CELLULAR TELEPHONE?,float64,186811,"[1.0, 1.0, 1.0]"
CADULT,ARE YOU 18 YEARS OF AGE OR OLDER?,float64,186810,"[2.0, 2.0, 1.0]"
PVTRESD2,DO YOU LIVE IN A PRIVATE RESIDENCE?,float64,186811,"[1.0, 1.0, 1.0]"
CCLGHOUS,DO YOU LIVE IN COLLEGE HOUSING?,float64,1070,"[1.0, 1.0, 1.0]"
CSTATE,ARE YOU A RESIDENT OF [STATE]?,float64,186812,"[1.0, 1.0, 1.0]"
LANDLINE,DO YOU ALSO HAVE A LANDLINE TELEPHONE?,float64,186067,"[2.0, 2.0, 2.0]"
HHADULT,NUMBER OF ADULTS IN HOUSEHOLD,float64,181631,"[2.0, 2.0, 1.0]"
GENHLTH,GENERAL HEALTH,float64,441454,"[5.0, 3.0, 4.0]"
PHYSHLTH,NUMBER OF DAYS PHYSICAL HEALTH NOT GOOD,float64,441455,"[15.0, 88.0, 15.0]"
MENTHLTH,NUMBER OF DAYS MENTAL HEALTH NOT GOOD,float64,441456,"[18.0, 88.0, 88.0]"
POORHLTH,POOR PHYSICAL OR MENTAL HEALTH,float64,226964,"[10.0, 88.0, 30.0]"
HLTHPLN1,HAVE ANY HEALTH CARE COVERAGE,float64,441456,"[1.0, 2.0, 1.0]"
PERSDOC2,MULTIPLE HEALTH CARE PROFESSIONALS,float64,441456,"[1.0, 1.0, 2.0]"
MEDCOST,COULD NOT SEE DR. BECAUSE OF COST,float64,441455,"[2.0, 1.0, 2.0]"
CHECKUP1,LENGTH OF TIME SINCE LAST ROUTINE CHECKUP,float64,441455,"[1.0, 4.0, 1.0]"
BPHIGH4,EVER TOLD BLOOD PRESSURE HIGH,float64,441455,"[1.0, 3.0, 3.0]"
BPMEDS,CURRENTLY TAKING BLOOD PRESSURE MEDICATION,float64,178188,"[1.0, 1.0, 1.0]"
BLOODCHO,EVER HAD BLOOD CHOLESTEROL CHECKED,float64,441456,"[1.0, 1.0, 1.0]"
CHOLCHK,HOW LONG SINCE CHOLESTEROL CHECKED,float64,382302,"[1.0, 4.0, 1.0]"
TOLDHI2,EVER TOLD BLOOD CHOLESTEROL HIGH,float64,382302,"[1.0, 2.0, 1.0]"
CVDINFR4,EVER DIAGNOSED WITH HEART ATTACK,float64,441456,"[2.0, 2.0, 7.0]"
CVDCRHD4,EVER DIAGNOSED WITH ANGINA OR CORONARY HEART DISEASE,float64,441455,"[2.0, 2.0, 2.0]"
CVDSTRK3,EVER DIAGNOSED WITH A STROKE,float64,441456,"[2.0, 2.0, 1.0]"
ASTHMA3,EVER TOLD HAD ASTHMA,float64,441456,"[1.0, 2.0, 2.0]"
ASTHNOW,STILL HAVE ASTHMA,float64,59409,"[1.0, 2.0, 1.0]"
CHCSCNCR,(EVER TOLD) YOU HAD SKIN CANCER?,float64,441455,"[2.0, 2.0, 2.0]"
CHCOCNCR,(EVER TOLD) YOU HAD ANY OTHER TYPES OF CANCER?,float64,441456,"[2.0, 2.0, 1.0]"
CHCCOPD1,"(EVER TOLD) YOU HAVE (COPD) CHRONIC OBSTRUCTIVE PULMONARY DISEASE, EMPHYSEMA OR CHRONIC BRONCHITIS?",float64,441456,"[1.0, 2.0, 2.0]"
HAVARTH3,TOLD HAVE ARTHRITIS,float64,441455,"[1.0, 2.0, 1.0]"
ADDEPEV2,EVER TOLD YOU HAD A DEPRESSIVE DISORDER,float64,441456,"[1.0, 2.0, 2.0]"
CHCKIDNY,(EVER TOLD) YOU HAVE KIDNEY DISEASE?,float64,441456,"[2.0, 2.0, 2.0]"
DIABETE3,(EVER TOLD) YOU HAVE DIABETES,float64,441449,"[3.0, 3.0, 3.0]"
DIABAGE2,AGE WHEN TOLD DIABETIC,float64,57253,"[98.0, 60.0, 41.0]"
SEX,RESPONDENTS SEX,float64,441456,"[2.0, 2.0, 2.0]"
MARITAL,MARITAL STATUS,float64,441456,"[1.0, 2.0, 2.0]"
EDUCA,EDUCATION LEVEL,float64,441456,"[4.0, 6.0, 4.0]"
RENTHOM1,OWN OR RENT HOME,float64,441456,"[1.0, 1.0, 1.0]"
NUMHHOL2,HOUSEHOLD TELEPHONES,float64,254645,"[2.0, 2.0, 2.0]"
NUMPHON2,RESIDENTIAL PHONES,float64,13250,"[2.0, 2.0, 1.0]"
CPDEMO1,DO YOU HAVE A CELL PHONE FOR PERSONAL USE?,float64,254645,"[1.0, 2.0, 1.0]"
VETERAN3,ARE YOU A VETERAN,float64,441450,"[2.0, 2.0, 2.0]"
EMPLOY1,EMPLOYMENT STATUS,float64,441456,"[8.0, 3.0, 7.0]"
CHILDREN,NUMBER OF CHILDREN IN HOUSEHOLD,float64,441451,"[88.0, 88.0, 88.0]"
INCOME2,INCOME LEVEL,float64,438155,"[3.0, 1.0, 99.0]"
INTERNET,INTERNET USE IN THE PAST 30 DAYS?,float64,437146,"[2.0, 1.0, 2.0]"
WEIGHT2,REPORTED WEIGHT IN POUNDS,float64,436141,"[280.0, 165.0, 158.0]"
HEIGHT3,REPORTED HEIGHT IN FEET AND INCHES,float64,435545,"[510.0, 508.0, 511.0]"
PREGNANT,PREGNANCY STATUS,float64,64952,"[2.0, 2.0, 2.0]"
